"age","job","marital","default","balance","housing","loan","duration","y"
60,"retired","married","no",42,"yes","yes",386,"no"
33,"management","single","no",54,"no","no",262,"no"
33,"unemployed","single","no",1716,"yes","no",396,"no"
52,"admin.","married","no",270,"yes","no",294,"no"
42,"blue-collar","married","no",803,"yes","no",171,"no"
30,"technician","single","no",102,"yes","no",614,"no"
33,"entrepreneur","divorced","no",188,"yes","no",118,"no"
46,"admin.","divorced","no",207,"yes","no",485,"no"
51,"blue-collar","married","no",1466,"yes","no",406,"no"
40,"unemployed","single","no",350,"yes","no",287,"no"
50,"admin.","married","no",159,"yes","no",216,"no"
42,"entrepreneur","married","no",157,"yes","yes",650,"no"
38,"technician","married","no",0,"no","no",55,"no"
36,"admin.","single","no",91,"yes","no",371,"no"
37,"unemployed","divorced","no",849,"yes","no",166,"no"
33,"management","married","no",436,"yes","no",48,"no"
38,"blue-collar","single","no",-1,"yes","no",72,"no"
52,"blue-collar","married","no",297,"yes","no",55,"no"
29,"blue-collar","married","no",313,"yes","yes",144,"no"
37,"blue-collar","married","no",310,"yes","no",474,"no"
34,"admin.","married","no",475,"yes","no",559,"no"
43,"blue-collar","married","no",61,"yes","no",261,"no"
49,"services","married","no",1377,"yes","no",1101,"no"
33,"technician","single","no",56,"no","no",236,"no"
47,"admin.","married","no",0,"yes","no",164,"no"
50,"technician","married","no",73,"no","no",93,"no"
30,"blue-collar","single","no",660,"yes","no",912,"no"
44,"services","married","no",-79,"yes","no",179,"no"
44,"blue-collar","divorced","no",558,"yes","no",485,"no"
30,"services","single","no",342,"yes","no",206,"no"
40,"blue-collar","married","no",-4,"yes","no",311,"no"
41,"blue-collar","married","no",225,"yes","no",690,"no"
34,"blue-collar","married","no",267,"yes","no",362,"no"
53,"services","married","no",46,"yes","no",274,"no"
35,"blue-collar","married","no",624,"yes","no",163,"no"
34,"technician","divorced","no",1107,"yes","yes",345,"no"
39,"admin.","single","no",573,"yes","no",329,"no"
39,"management","single","no",406,"yes","no",68,"no"
52,"services","divorced","no",220,"yes","no",143,"no"
34,"blue-collar","married","no",2308,"yes","no",1062,"no"
37,"blue-collar","divorced","no",139,"yes","no",71,"no"
39,"admin.","married","no",367,"yes","no",106,"no"
52,"entrepreneur","divorced","no",278,"yes","no",688,"no"
35,"blue-collar","married","no",229,"yes","no",103,"no"
36,"entrepreneur","married","no",1722,"yes","no",349,"no"
48,"technician","married","no",-500,"yes","no",78,"no"
31,"admin.","divorced","no",308,"yes","no",194,"no"
43,"technician","divorced","no",1026,"yes","yes",224,"no"
43,"blue-collar","single","no",548,"yes","no",98,"no"
39,"blue-collar","married","no",356,"yes","yes",607,"no"
40,"technician","married","no",164,"yes","no",398,"no"
58,"management","married","no",211,"no","no",103,"no"
31,"blue-collar","married","no",19,"yes","no",241,"no"
41,"blue-collar","married","no",108,"yes","yes",203,"no"
37,"management","married","no",308,"yes","no",96,"no"
44,"services","divorced","no",7,"yes","yes",238,"no"
37,"technician","married","no",16,"yes","yes",153,"no"
39,"blue-collar","married","no",867,"yes","no",481,"no"
41,"blue-collar","single","no",277,"yes","no",2177,"no"
52,"blue-collar","divorced","no",196,"yes","no",119,"no"
29,"blue-collar","single","no",365,"yes","yes",245,"no"
60,"blue-collar","divorced","no",1310,"no","no",152,"no"
32,"technician","married","no",186,"no","no",418,"no"
50,"services","single","no",148,"yes","no",198,"no"
56,"blue-collar","married","no",862,"yes","yes",198,"no"
48,"admin.","married","no",359,"yes","no",374,"no"
29,"blue-collar","married","no",190,"no","no",51,"no"
40,"blue-collar","married","no",4,"yes","yes",263,"no"
42,"admin.","divorced","no",0,"yes","no",229,"no"
34,"blue-collar","married","no",42,"yes","no",154,"no"
23,"management","single","no",2605,"yes","no",278,"no"
30,"technician","single","no",60,"yes","yes",306,"no"
51,"management","married","no",98,"yes","no",114,"no"
52,"technician","single","no",-181,"yes","no",94,"no"
45,"technician","married","no",118,"yes","no",208,"no"
41,"blue-collar","married","no",-15,"yes","no",169,"no"
27,"student","single","no",671,"yes","no",332,"no"
50,"blue-collar","married","no",1557,"yes","no",263,"no"
36,"blue-collar","married","no",-20,"yes","no",353,"no"
46,"blue-collar","married","no",323,"yes","no",108,"no"
44,"blue-collar","married","no",-171,"yes","no",441,"no"
47,"blue-collar","married","no",438,"yes","no",46,"no"
40,"blue-collar","married","no",316,"yes","no",266,"no"
36,"services","single","no",174,"yes","no",223,"no"
46,"blue-collar","married","no",442,"yes","no",105,"no"
58,"technician","married","no",786,"yes","no",165,"no"
30,"technician","divorced","no",-317,"yes","no",381,"no"
43,"blue-collar","married","no",667,"yes","no",228,"no"
29,"services","single","no",-158,"yes","no",128,"no"
41,"management","married","no",72,"yes","no",764,"no"
44,"entrepreneur","married","no",58,"yes","no",113,"no"
44,"services","divorced","no",396,"yes","yes",396,"no"
59,"blue-collar","married","no",10,"yes","no",133,"no"
39,"management","single","no",2887,"yes","no",42,"no"
42,"management","married","no",0,"no","no",234,"no"
31,"admin.","married","no",89,"no","no",297,"no"
39,"blue-collar","single","no",29,"yes","no",214,"no"
44,"blue-collar","married","no",420,"yes","no",110,"no"
49,"services","single","no",114,"yes","no",99,"no"
39,"housemaid","married","no",365,"yes","no",274,"no"
27,"blue-collar","single","no",0,"yes","no",191,"no"
56,"management","married","no",-24,"yes","no",305,"no"
43,"technician","married","no",743,"yes","no",134,"no"
37,"self-employed","married","no",0,"no","no",112,"no"
54,"technician","single","no",99,"yes","no",283,"no"
38,"blue-collar","married","no",22,"yes","yes",353,"no"
31,"blue-collar","married","no",251,"yes","no",212,"no"
34,"blue-collar","married","no",615,"yes","no",225,"no"
35,"admin.","married","no",136,"yes","no",283,"no"
44,"blue-collar","single","no",2167,"yes","no",1273,"no"
30,"blue-collar","married","no",309,"yes","no",1574,"yes"
51,"technician","married","no",221,"yes","no",139,"no"
37,"blue-collar","married","no",321,"yes","no",228,"no"
39,"blue-collar","married","no",-33,"yes","no",62,"no"
33,"management","single","no",76,"yes","no",256,"no"
37,"management","divorced","no",42,"yes","no",564,"no"
46,"blue-collar","single","no",76,"yes","no",245,"no"
32,"admin.","married","no",1293,"yes","no",161,"no"
43,"entrepreneur","married","no",526,"yes","no",79,"no"
59,"housemaid","divorced","no",873,"yes","no",152,"no"
46,"admin.","married","no",40,"yes","no",591,"no"
47,"blue-collar","married","no",117,"yes","no",113,"no"
31,"services","single","no",671,"yes","no",193,"no"
30,"blue-collar","married","no",145,"yes","no",299,"no"
38,"blue-collar","married","no",1807,"no","no",348,"no"
44,"blue-collar","single","no",-212,"yes","yes",103,"no"
52,"technician","married","no",133,"yes","no",253,"no"
29,"services","single","no",566,"no","no",127,"no"
43,"admin.","married","no",1924,"yes","no",244,"no"
47,"technician","married","no",145,"yes","no",157,"no"
43,"blue-collar","married","no",487,"yes","no",548,"no"
52,"blue-collar","divorced","no",-57,"yes","no",114,"no"
32,"services","single","no",81,"yes","no",126,"no"
40,"admin.","single","no",-227,"yes","no",161,"no"
57,"technician","divorced","no",2710,"yes","yes",333,"no"
30,"services","divorced","no",98,"yes","no",155,"no"
48,"blue-collar","married","no",1230,"yes","yes",152,"no"
46,"blue-collar","married","no",78,"yes","yes",145,"no"
59,"retired","divorced","no",137,"yes","yes",66,"no"
50,"blue-collar","married","yes",354,"yes","no",123,"no"
50,"blue-collar","divorced","no",149,"yes","no",74,"no"
33,"blue-collar","divorced","no",126,"yes","no",248,"no"
39,"technician","single","no",0,"yes","no",130,"no"
57,"retired","divorced","no",8266,"yes","no",71,"no"
49,"blue-collar","married","no",51,"yes","no",984,"no"
41,"blue-collar","married","no",258,"yes","no",252,"no"
43,"technician","married","no",117,"yes","no",84,"no"
29,"management","married","no",199,"yes","yes",1689,"yes"
56,"services","married","no",219,"yes","no",130,"no"
46,"technician","married","no",1571,"yes","no",489,"no"
42,"blue-collar","married","no",223,"yes","no",41,"no"
36,"blue-collar","married","no",-79,"no","no",159,"no"
29,"services","married","no",321,"yes","no",196,"no"
43,"admin.","single","no",2527,"yes","no",276,"no"
48,"admin.","married","no",5,"yes","no",697,"no"
38,"blue-collar","single","no",20,"yes","no",81,"no"
46,"blue-collar","married","no",1045,"yes","yes",149,"no"
44,"blue-collar","married","no",1,"yes","no",281,"no"
28,"management","married","no",3,"yes","no",122,"no"
28,"blue-collar","married","no",-55,"yes","no",361,"no"
36,"technician","divorced","no",141,"yes","no",319,"no"
37,"blue-collar","married","no",374,"yes","no",944,"no"
56,"management","married","no",93,"yes","no",282,"no"
46,"blue-collar","single","no",460,"yes","no",1102,"yes"
34,"services","divorced","no",78,"yes","no",35,"no"
32,"entrepreneur","married","no",135,"yes","no",143,"no"
33,"technician","married","no",367,"yes","yes",22,"no"
36,"services","single","no",248,"yes","no",90,"no"
35,"services","married","no",630,"yes","no",17,"no"
44,"admin.","single","no",-30,"yes","no",404,"no"
37,"technician","married","no",157,"yes","no",238,"no"
48,"admin.","divorced","no",268,"yes","no",71,"no"
38,"blue-collar","married","no",164,"yes","no",309,"no"
44,"technician","married","no",-97,"yes","no",408,"no"
31,"admin.","divorced","no",53,"yes","no",128,"no"
35,"management","divorced","no",788,"yes","no",297,"no"
54,"technician","divorced","no",1904,"yes","yes",280,"no"
28,"admin.","single","no",260,"yes","no",374,"no"
38,"unemployed","married","no",447,"yes","no",365,"no"
48,"technician","married","no",720,"yes","no",177,"no"
31,"blue-collar","married","no",2827,"yes","no",238,"no"
59,"retired","married","no",0,"no","no",425,"no"
29,"admin.","single","no",1117,"yes","no",77,"no"
28,"blue-collar","married","no",597,"yes","no",223,"no"
50,"blue-collar","married","no",362,"yes","no",201,"no"
31,"self-employed","single","no",120,"yes","no",239,"no"
32,"admin.","single","no",89,"yes","yes",308,"no"
30,"services","married","no",442,"yes","no",137,"no"
32,"management","single","no",111,"yes","no",162,"no"
29,"technician","single","no",247,"yes","no",134,"no"
30,"admin.","divorced","no",1,"yes","no",175,"no"
34,"management","married","no",6,"yes","no",125,"no"
34,"blue-collar","single","yes",-947,"yes","no",211,"no"
41,"blue-collar","married","no",191,"yes","no",67,"no"
36,"blue-collar","married","no",-147,"yes","no",156,"no"
31,"technician","single","no",703,"yes","no",943,"yes"
39,"blue-collar","married","no",70,"no","no",813,"yes"
36,"technician","married","no",83,"yes","no",178,"no"
39,"blue-collar","married","no",125,"yes","no",142,"no"
37,"blue-collar","married","no",190,"yes","yes",194,"no"
52,"blue-collar","married","no",46,"yes","no",132,"no"
25,"management","single","no",1348,"yes","no",109,"no"
42,"technician","married","no",420,"yes","no",94,"no"
27,"services","divorced","no",96,"yes","no",31,"no"
42,"blue-collar","married","no",271,"yes","no",84,"no"
29,"admin.","divorced","no",1320,"yes","yes",489,"no"
38,"blue-collar","married","no",54,"yes","no",180,"no"
42,"entrepreneur","married","no",198,"yes","no",314,"no"
35,"self-employed","married","no",1094,"yes","no",207,"no"
41,"management","married","no",141,"yes","yes",146,"no"
57,"retired","married","no",207,"yes","no",193,"no"
36,"blue-collar","married","no",-206,"yes","no",177,"no"
56,"management","divorced","no",177,"yes","no",1040,"no"
33,"blue-collar","divorced","no",176,"yes","no",622,"no"
41,"entrepreneur","divorced","no",-413,"yes","no",170,"no"
33,"blue-collar","married","no",-81,"yes","no",267,"no"
35,"management","divorced","no",3837,"yes","no",1084,"yes"
43,"management","married","no",870,"yes","yes",528,"no"
36,"admin.","single","no",206,"yes","no",183,"no"
37,"technician","married","no",316,"yes","no",238,"no"
51,"management","married","yes",57,"yes","yes",61,"no"
28,"housemaid","divorced","no",1,"yes","no",923,"no"
43,"blue-collar","married","yes",-7,"no","no",70,"no"
32,"blue-collar","single","no",611,"yes","no",541,"yes"
36,"entrepreneur","single","no",157,"yes","no",41,"no"
33,"unemployed","single","no",233,"yes","no",221,"no"
39,"admin.","married","no",419,"yes","yes",35,"no"
28,"blue-collar","married","no",134,"yes","no",262,"no"
26,"technician","single","no",2087,"no","no",151,"no"
40,"technician","married","no",103,"yes","no",135,"no"
44,"housemaid","married","no",281,"yes","no",604,"no"
34,"management","married","no",133,"yes","no",65,"no"
47,"blue-collar","married","no",1865,"yes","no",380,"no"
55,"blue-collar","single","no",325,"yes","no",693,"no"
48,"blue-collar","divorced","no",-18,"yes","no",11,"no"
36,"blue-collar","single","no",49,"yes","no",405,"no"
31,"management","single","no",7444,"yes","yes",20,"no"
30,"management","single","no",59,"yes","yes",202,"no"
46,"blue-collar","married","no",45,"yes","no",235,"no"
30,"admin.","single","no",387,"yes","no",75,"no"
32,"blue-collar","single","no",5,"yes","yes",134,"no"
48,"blue-collar","single","no",71,"yes","no",101,"no"
48,"admin.","single","no",96,"yes","no",255,"no"
36,"services","single","no",72,"yes","no",80,"no"
41,"admin.","single","no",1715,"yes","no",462,"no"
49,"admin.","single","no",181,"yes","no",161,"no"
26,"blue-collar","married","yes",20,"yes","no",200,"no"
38,"management","married","no",65,"yes","no",56,"no"
27,"student","single","no",81,"yes","no",238,"no"
51,"retired","married","no",226,"yes","yes",418,"no"
33,"admin.","divorced","no",1128,"yes","no",139,"no"
53,"unemployed","married","no",582,"yes","no",96,"no"
36,"technician","married","no",5611,"yes","no",39,"no"
48,"technician","divorced","no",177,"yes","no",471,"no"
27,"admin.","single","no",181,"yes","no",231,"no"
42,"technician","married","no",0,"yes","no",66,"no"
61,"blue-collar","married","no",734,"yes","no",204,"no"
31,"self-employed","married","no",322,"yes","no",159,"no"
37,"blue-collar","single","no",134,"yes","no",200,"no"
34,"entrepreneur","married","no",10350,"yes","no",187,"no"
55,"technician","married","no",84,"yes","no",166,"no"
24,"services","married","no",620,"yes","no",144,"no"
41,"technician","married","no",254,"yes","no",690,"no"
34,"blue-collar","single","no",0,"yes","no",323,"no"
29,"blue-collar","married","no",5903,"yes","no",194,"no"
42,"blue-collar","single","no",134,"yes","yes",82,"no"
45,"services","married","no",1381,"yes","no",269,"no"
49,"management","married","no",104,"yes","no",285,"no"
26,"blue-collar","single","no",318,"yes","no",101,"no"
35,"technician","single","no",2151,"yes","no",294,"no"
49,"services","married","no",-8,"yes","no",1119,"yes"
44,"blue-collar","married","no",185,"yes","no",249,"no"
41,"management","married","no",1773,"no","no",106,"no"
50,"blue-collar","married","no",40,"yes","no",152,"no"
58,"retired","married","no",44,"yes","no",12,"no"
43,"blue-collar","married","no",0,"yes","no",187,"no"
34,"management","married","no",0,"yes","no",214,"no"
57,"admin.","divorced","no",3058,"yes","no",268,"no"
43,"services","divorced","no",130,"yes","no",193,"no"
38,"services","married","no",507,"yes","no",95,"no"
35,"self-employed","married","no",844,"yes","no",60,"no"
49,"admin.","married","no",458,"yes","no",381,"no"
33,"blue-collar","married","yes",-744,"yes","no",206,"no"
60,"retired","married","no",-2,"yes","no",75,"no"
33,"technician","single","no",129,"yes","no",128,"no"
33,"services","divorced","no",411,"yes","no",216,"no"
47,"management","married","no",643,"yes","no",155,"no"
37,"technician","single","no",391,"yes","no",103,"no"
34,"blue-collar","married","no",80,"yes","yes",494,"no"
32,"technician","single","no",10,"yes","no",107,"no"
36,"admin.","married","no",114,"yes","yes",147,"no"
40,"blue-collar","single","no",1,"yes","no",190,"no"
57,"management","married","no",1341,"yes","no",339,"no"
48,"blue-collar","married","no",4,"yes","no",198,"no"
26,"blue-collar","married","no",2770,"yes","no",141,"no"
30,"management","single","no",5956,"yes","no",255,"no"
41,"admin.","married","no",55,"yes","no",1120,"yes"
30,"self-employed","married","no",131,"yes","no",306,"no"
35,"management","married","no",1942,"yes","no",249,"no"
36,"entrepreneur","married","no",298,"yes","no",215,"no"
52,"technician","married","no",291,"no","no",143,"no"
45,"blue-collar","married","no",85,"yes","no",162,"no"
35,"management","single","no",797,"yes","no",81,"no"
46,"blue-collar","single","no",152,"yes","no",33,"no"
39,"blue-collar","married","no",481,"yes","no",204,"no"
38,"management","married","no",66,"yes","no",124,"no"
38,"blue-collar","married","no",4586,"yes","no",784,"no"
31,"technician","single","no",1798,"yes","no",393,"no"
39,"management","single","no",220,"yes","no",87,"no"
32,"blue-collar","married","no",715,"yes","no",108,"no"
32,"services","married","no",442,"yes","no",207,"no"
26,"student","single","no",85,"yes","no",278,"no"
35,"technician","married","no",319,"yes","no",74,"no"
26,"blue-collar","single","no",-29,"yes","no",196,"no"
33,"admin.","single","no",303,"no","no",149,"no"
30,"entrepreneur","married","no",31,"no","no",229,"no"
36,"technician","single","no",1832,"yes","no",154,"no"
46,"services","married","no",2019,"yes","no",357,"no"
30,"blue-collar","married","no",3,"yes","no",147,"no"
46,"services","married","no",397,"no","no",93,"no"
38,"technician","married","no",1161,"yes","no",665,"no"
24,"technician","single","no",777,"yes","no",131,"no"
41,"management","divorced","no",47,"yes","no",160,"no"
28,"technician","married","no",-58,"yes","no",74,"no"
55,"unemployed","single","no",1513,"yes","no",60,"no"
40,"management","married","no",121,"no","no",82,"no"
38,"management","divorced","no",904,"yes","no",475,"no"
40,"technician","married","no",697,"yes","no",111,"no"
54,"services","married","no",841,"yes","no",284,"no"
49,"housemaid","married","no",7317,"yes","no",140,"no"
44,"blue-collar","married","no",-95,"yes","no",110,"no"
32,"management","single","no",751,"yes","no",64,"no"
36,"blue-collar","married","no",250,"yes","no",149,"no"
35,"technician","single","no",365,"yes","no",256,"no"
31,"management","single","no",1315,"yes","no",156,"no"
34,"technician","married","no",65,"yes","no",63,"no"
36,"management","married","no",1852,"no","no",362,"no"
44,"admin.","single","no",-84,"yes","no",32,"no"
44,"blue-collar","single","no",36,"yes","no",712,"no"
51,"blue-collar","married","no",125,"yes","no",102,"no"
36,"blue-collar","married","no",0,"no","no",338,"no"
37,"blue-collar","married","no",105,"yes","no",69,"no"
31,"services","married","no",432,"yes","no",446,"no"
42,"blue-collar","married","no",555,"yes","no",249,"no"
55,"entrepreneur","married","no",-24,"yes","no",176,"no"
57,"management","married","no",2261,"yes","no",1007,"no"
33,"services","married","no",804,"yes","yes",266,"no"
44,"blue-collar","married","yes",-617,"yes","no",172,"no"
30,"technician","married","no",-1,"yes","no",323,"no"
37,"services","married","no",237,"yes","no",175,"no"
32,"admin.","married","no",514,"yes","no",459,"no"
33,"blue-collar","married","no",1988,"yes","no",211,"no"
31,"technician","single","no",491,"yes","no",237,"no"
46,"technician","married","no",675,"yes","no",50,"no"
34,"blue-collar","single","no",177,"yes","no",500,"no"
51,"admin.","divorced","no",340,"yes","no",186,"no"
49,"technician","married","no",230,"yes","no",96,"no"
52,"management","single","yes",0,"no","no",98,"no"
43,"technician","married","no",2331,"yes","no",364,"no"
35,"blue-collar","divorced","no",0,"yes","no",477,"no"
27,"student","single","no",217,"yes","no",319,"no"
43,"blue-collar","married","no",186,"yes","no",178,"no"
49,"admin.","divorced","no",168,"yes","yes",513,"yes"
50,"services","divorced","no",145,"yes","no",170,"no"
33,"admin.","divorced","no",140,"yes","no",139,"no"
49,"services","married","no",-22,"yes","no",70,"no"
50,"technician","married","no",389,"yes","no",110,"no"
42,"admin.","married","no",323,"yes","yes",280,"no"
28,"services","married","no",6,"yes","no",667,"no"
41,"technician","married","no",225,"yes","yes",63,"no"
34,"services","married","no",142,"yes","no",159,"no"
58,"blue-collar","married","no",5,"no","no",177,"no"
46,"blue-collar","married","no",174,"yes","yes",108,"no"
46,"blue-collar","married","no",-768,"yes","no",194,"no"
42,"blue-collar","married","no",30,"no","no",366,"no"
40,"blue-collar","married","no",968,"yes","yes",213,"no"
42,"blue-collar","divorced","no",47,"yes","yes",141,"no"
33,"entrepreneur","married","no",0,"yes","yes",982,"no"
27,"services","married","no",91,"yes","no",168,"no"
43,"blue-collar","married","no",-77,"yes","no",468,"no"
28,"blue-collar","married","no",486,"yes","no",180,"no"
34,"blue-collar","single","no",341,"yes","no",195,"no"
37,"services","married","no",50,"yes","no",352,"no"
41,"services","married","no",205,"yes","no",91,"no"
39,"admin.","single","no",762,"yes","no",288,"no"
37,"technician","single","no",31,"yes","no",72,"no"
41,"unemployed","married","yes",-581,"yes","no",218,"no"
36,"services","single","no",-45,"yes","no",289,"no"
51,"blue-collar","married","no",0,"no","no",384,"no"
28,"self-employed","married","no",120,"yes","yes",130,"no"
31,"blue-collar","married","no",335,"yes","no",226,"no"
33,"services","married","no",-232,"yes","no",208,"no"
28,"admin.","divorced","no",785,"yes","no",442,"yes"
31,"services","married","no",28,"yes","no",101,"no"
43,"management","single","no",2067,"yes","no",756,"yes"
48,"blue-collar","married","no",448,"yes","no",189,"no"
26,"student","single","no",37,"yes","no",108,"no"
34,"technician","single","no",301,"yes","no",205,"no"
38,"blue-collar","married","no",668,"no","no",238,"no"
51,"admin.","divorced","no",115,"yes","yes",136,"no"
49,"admin.","single","no",275,"no","no",14,"no"
60,"retired","married","no",414,"no","no",395,"no"
32,"management","single","no",3,"yes","no",161,"no"
36,"admin.","divorced","no",496,"no","no",269,"no"
28,"management","single","no",150,"yes","no",491,"no"
34,"management","single","no",163,"no","no",44,"no"
40,"admin.","single","no",1322,"yes","no",26,"no"
33,"housemaid","married","no",1713,"yes","no",22,"no"
37,"admin.","married","no",242,"yes","no",161,"no"
40,"management","married","no",-29,"no","no",406,"no"
59,"retired","divorced","no",381,"yes","no",422,"no"
39,"blue-collar","single","no",82,"yes","no",147,"no"
28,"management","single","no",21,"yes","no",219,"no"
30,"services","married","no",1801,"yes","no",807,"no"
40,"blue-collar","married","no",640,"yes","yes",347,"no"
28,"blue-collar","married","no",113,"yes","no",534,"no"
39,"blue-collar","married","no",1042,"yes","no",58,"no"
44,"services","divorced","no",240,"yes","no",155,"no"
39,"services","single","no",-244,"yes","no",152,"no"
30,"blue-collar","married","no",70,"yes","yes",461,"no"
35,"blue-collar","married","no",-339,"yes","no",389,"no"
31,"management","married","no",59,"yes","no",314,"no"
47,"management","married","no",1222,"yes","no",28,"no"
26,"student","single","no",-41,"yes","no",229,"no"
25,"blue-collar","single","no",0,"yes","no",30,"no"
42,"management","married","no",6,"yes","no",103,"no"
30,"blue-collar","married","no",4,"yes","no",32,"no"
28,"services","married","no",20,"yes","yes",252,"no"
46,"admin.","divorced","no",846,"yes","no",369,"no"
43,"blue-collar","divorced","no",338,"yes","no",116,"no"
38,"technician","married","no",90,"yes","yes",20,"no"
31,"blue-collar","married","no",406,"yes","no",31,"no"
29,"services","single","no",2,"no","no",190,"no"
34,"services","married","no",2211,"no","no",149,"no"
40,"blue-collar","married","no",87,"yes","no",210,"no"
30,"technician","single","no",178,"yes","no",234,"no"
44,"technician","married","no",185,"yes","yes",63,"no"
38,"blue-collar","married","no",-210,"yes","no",21,"no"
43,"management","divorced","no",388,"yes","no",2087,"yes"
32,"blue-collar","married","no",1,"yes","no",102,"no"
33,"management","married","yes",879,"yes","no",245,"no"
32,"blue-collar","married","no",214,"yes","no",190,"no"
40,"technician","married","no",698,"yes","no",223,"no"
34,"management","married","no",1601,"yes","no",650,"no"
30,"blue-collar","married","no",717,"yes","no",42,"no"
53,"blue-collar","divorced","no",255,"yes","no",206,"no"
39,"management","single","no",375,"yes","no",66,"no"
46,"blue-collar","married","no",587,"yes","no",173,"no"
32,"management","married","no",644,"yes","yes",477,"no"
60,"technician","married","no",0,"yes","no",77,"no"
40,"management","single","no",-275,"yes","no",219,"no"
47,"blue-collar","married","no",116,"yes","no",376,"no"
25,"entrepreneur","married","no",37,"yes","yes",453,"no"
44,"blue-collar","married","no",753,"yes","no",151,"no"
38,"blue-collar","single","no",162,"yes","no",200,"no"
45,"admin.","divorced","no",984,"yes","no",298,"no"
34,"blue-collar","married","no",199,"yes","no",627,"no"
36,"services","divorced","no",241,"yes","no",133,"no"
30,"blue-collar","single","no",648,"yes","yes",287,"no"
35,"blue-collar","single","no",907,"yes","yes",242,"no"
39,"unemployed","divorced","no",6322,"no","no",184,"no"
46,"blue-collar","married","no",125,"yes","yes",119,"no"
36,"self-employed","married","no",90,"yes","no",403,"no"
22,"technician","single","no",54,"yes","yes",626,"no"
26,"blue-collar","single","no",-132,"no","no",12,"no"
48,"admin.","divorced","no",267,"no","no",266,"no"
32,"blue-collar","married","no",289,"yes","no",23,"no"
58,"self-employed","divorced","no",613,"yes","no",154,"no"
57,"entrepreneur","married","no",618,"yes","no",10,"no"
53,"management","married","no",1786,"yes","no",66,"no"
29,"management","divorced","no",607,"yes","yes",240,"no"
34,"services","married","no",586,"yes","yes",224,"no"
32,"services","single","no",459,"yes","no",202,"no"
55,"entrepreneur","married","no",298,"yes","no",144,"no"
50,"blue-collar","divorced","no",134,"no","no",263,"no"
43,"blue-collar","married","no",34,"yes","no",543,"no"
44,"services","single","no",1378,"yes","no",257,"no"
27,"blue-collar","married","no",417,"yes","yes",237,"no"
35,"blue-collar","married","no",25,"yes","no",23,"no"
45,"services","married","no",22,"yes","no",209,"no"
35,"blue-collar","single","no",398,"yes","no",34,"no"
49,"blue-collar","single","no",1164,"yes","no",72,"no"
34,"management","married","no",487,"yes","no",442,"no"
46,"admin.","married","no",1069,"yes","no",45,"no"
43,"blue-collar","married","no",-192,"yes","no",1120,"yes"
42,"retired","married","no",0,"yes","no",186,"no"
55,"blue-collar","married","no",332,"yes","no",318,"no"
37,"blue-collar","married","no",121,"yes","no",617,"no"
31,"blue-collar","married","no",68,"yes","no",226,"no"
57,"blue-collar","divorced","no",-176,"yes","no",275,"no"
33,"blue-collar","married","no",527,"yes","yes",81,"no"
43,"services","single","no",193,"yes","no",74,"no"
60,"blue-collar","divorced","no",7601,"yes","no",285,"no"
51,"management","married","no",751,"no","no",261,"no"
38,"blue-collar","single","no",495,"yes","no",297,"no"
37,"technician","single","no",670,"yes","no",78,"no"
41,"blue-collar","single","no",363,"yes","no",183,"no"
42,"blue-collar","married","no",376,"yes","no",15,"no"
41,"management","divorced","no",292,"yes","no",352,"no"
33,"technician","married","no",0,"no","no",345,"no"
32,"admin.","single","no",184,"yes","no",230,"no"
30,"services","married","no",80,"yes","no",185,"no"
43,"technician","married","no",1824,"yes","no",296,"no"
30,"blue-collar","married","no",2850,"no","no",181,"no"
37,"blue-collar","divorced","no",48,"yes","no",133,"no"
34,"management","married","no",76,"no","no",335,"no"
32,"unemployed","single","no",336,"yes","no",139,"no"
42,"technician","married","no",0,"no","yes",7,"no"
35,"technician","single","no",433,"yes","no",163,"no"
34,"blue-collar","married","no",103,"yes","yes",956,"no"
50,"blue-collar","married","no",1164,"yes","no",166,"no"
34,"blue-collar","married","no",129,"yes","no",71,"no"
38,"services","divorced","no",5873,"no","no",191,"no"
28,"blue-collar","married","no",0,"yes","no",459,"no"
55,"blue-collar","married","no",82,"yes","no",292,"no"
38,"blue-collar","married","no",362,"yes","no",100,"no"
31,"blue-collar","married","no",186,"yes","no",257,"no"
57,"admin.","married","no",1216,"yes","no",255,"no"
50,"management","divorced","no",704,"yes","no",233,"no"
47,"blue-collar","married","no",205,"yes","no",128,"no"
39,"blue-collar","married","no",830,"yes","no",246,"no"
34,"services","married","no",-315,"yes","no",56,"no"
41,"technician","married","no",64,"yes","yes",210,"no"
59,"entrepreneur","married","no",-820,"no","no",43,"no"
35,"self-employed","single","no",538,"yes","yes",21,"no"
31,"technician","single","no",948,"yes","no",91,"no"
55,"management","married","no",1288,"yes","no",67,"no"
36,"blue-collar","married","no",70,"yes","no",219,"no"
41,"management","married","no",393,"yes","no",110,"no"
44,"technician","single","no",365,"yes","no",169,"no"
40,"blue-collar","single","no",879,"yes","yes",248,"no"
32,"blue-collar","married","no",491,"yes","no",223,"no"
38,"management","single","no",0,"yes","no",92,"no"
27,"student","single","no",0,"no","no",93,"no"
33,"unemployed","married","no",229,"yes","no",205,"no"
37,"services","married","no",22,"yes","yes",160,"no"
40,"management","married","no",570,"yes","no",105,"no"
33,"blue-collar","single","no",56,"yes","no",112,"no"
40,"admin.","single","no",118,"yes","no",383,"no"
27,"blue-collar","married","no",106,"yes","no",207,"no"
42,"management","single","no",1768,"yes","no",193,"no"
